title_href,selling_proposition,price,discount,available_color,product_title,main_category
,100+ sold recently,4.5,0.0,1.0,"Fashionable And Minimalist Style Baby Girl's Letter Printed Suspenders Dress, Summer",Baby & Maternity
,700+ sold recently,6.2,7.0,1.0,Baby Girl Allover Floral Print Wrap Romper,Baby & Maternity
,70+ sold recently,3.62,29.0,1.0,8 Pairs Baby Elastic Smiling Face Jacquard Mid-Tube Socks For Spring And Summer,Baby & Maternity
,1.5k+ sold recently,5.17,24.0,1.0,Baby Girl Flamingo Print Bow Front Cami Top & Shorts,Baby & Maternity
,1.4k+ sold recently,6.9,9.0,1.0,Baby Boy Animal Print Button Front Lapel Neck Shirt Romper,Baby & Maternity
,900+ sold recently,5.15,39.0,1.0,Baby Girl Slogan Graphic Ruffle Trim Bodysuit & Floral Print Belted Shorts,Baby & Maternity
,1.1k+ sold recently,1.6,11.0,9.0,"1pair Baby Socks, Princess Style Anti-slip Floor, Boat Socks With Bowknot, Suitable For Learning To Walk",Baby & Maternity
,100+ sold recently,3.8,5.0,1.0,"Baby Boys' Casual Telephone Pattern & Letter Slogan Printed Short Sleeve Romper, Triangle Hat",Baby & Maternity
,1.1k+ sold recently,9.6,7.0,1.0,SHEIN Baby Girl Sleeveless Crochet Knitted Short Tank Top And Casual Pants Summer Outfit,Baby & Maternity
,,23.03,4.0,1.0,"Cozy Cub 3pcs/Set Baby Girls' Spring & Summer Boho Casual Ruffle Trim Elastic Waist Soft Denim Jeans Shorts In Multiple Colors,Baby Summer Clothes Cute Shorts Outfits",Baby & Maternity
,,4.9,8.0,1.0,"1pc Kids' Sun Protection Shawl Hat, With Adjustable Drawstring, Purple Maple Leaf & Rabbit Cartoon Design, With Whistle, Suitable For Boys And Girls. Whistle Is Randomly Sent. The Hat Has A Large Brim To Provide Necessary Sun Protection For Outdoor Activities During Spring And Summer. It Comes In Various Colors And Styles To Suit Individual Preferences And Has Cultural Connotations Specific To Cross-Border Markets. It Is Lightweight, , And Foldable - A Must-Have Travel And Outdoor Accessory For Summer.",Baby & Maternity
,1.5k+ sold recently,8.32,26.0,6.0,SHEIN Baby Boy Ripped Roll Hem Ripped Jeans,Baby & Maternity
,20+ sold recently,3.8,7.0,1.0,Fashion USA Lettered Embroidered Baseball Cap American Flag Pattern Baseball Cap Girls Boys All-Purpose Baseball Cap,Baby & Maternity
,1.0k+ sold recently,7.9,7.0,5.0,Baby Girl Casual Polka Dot Print Romper With Flutter Sleeves,Baby & Maternity
,50+ sold recently,7.1,9.0,1.0,"Baby Girls' Textured Jacquard Fabric Camisole Top With 3D Flower Decoration And Pleated Shorts Set, Fashionable Casual Outfit For Vacation",Baby & Maternity
,1.3k+ sold recently,6.9,9.0,4.0,Baby Girl Striped Print Ruffle Trim Wrinkled Top With Shorts,Baby & Maternity
,1.1k+ sold recently,7.9,9.0,1.0,Baby Girl's Cute Watermelon Shaped Flocked Mesh Dress With Shoulder Straps,Baby & Maternity
,,4.95,8.0,8.0,Baby Girl Floral Print Bodysuit With Headband,Baby & Maternity
,300+ sold recently,8.8,7.0,1.0,"Baby Girl Cute, Elegant, Cute, Floral Printed, Purple Bodysuit With Shorts Set And Headband, For Spring And Summer",Baby & Maternity
,,13.09,0.0,1.0,SHEIN Maternity Summer Elegant Ditsy Floral Printed Bodycon Dress With Fish Tail Hem,Baby & Maternity
,100+ sold recently,5.33,18.0,7.0,Baby Girl Polka Dot Printed Three-Layer Ruffled Sleeve Dress With Bowknot Decoration For Summer,Baby & Maternity
,100+ sold recently,1.84,20.0,1.0,1pc Black Flat Baby & Kids' Leggings Tights,Baby & Maternity
,,2.8,10.0,11.0,5pairs/set Baby Cartoon Pattern & Solid Color Socks,Baby & Maternity
,1.8k+ sold recently,12.6,9.0,4.0,"SHEIN Baby Boys' Colorblock Round Neck Short Sleeve Top, Shorts, Vest And Hat Set",Baby & Maternity
,1.1k+ sold recently,12.64,15.0,1.0,SHEIN 6pcs Baby Girl Adorable Simple Knitted Solid Color Sleeveless Wave Hem Top & Shorts Outfits,Baby & Maternity
,1.0k+ sold recently,6.8,8.0,1.0,Baby Girl Floral Print Appliques Crisscross Back Cami Romper,Baby & Maternity
,2.6k+ sold recently,10.7,7.0,4.0,Baby And Child (girls) Casual Sports Simple Sweatshirt Three-piece Set Spring And Autumn,Baby & Maternity
